Country,ExchangeRateAtPPP,Exports,HouseholdExpenditures,Imports,ImprovedSanitation,ImprovedWater,Population,Population15To64,PopulationGrowth,TotalInvestment,Unemployment,Urban,AgeDependencyRatioOld,CellphoneSubscriptions,GovernmentRevenues,GovernmentSpending,HealthExpenditure,IndustrialProduction,InternetUsers
Afghanistan,0.002394,0.000189,0.004169,0.002252,0.219780,0.475842,0.022444,0.098240,0.356803,0.236827,0.288733,0.142471,0.102423,0.276300,0.001614,0.001336,0.000162,0.050915,0.061458
Albania,0.003766,0.000868,0.001719,0.001770,0.903297,0.937042,0.002043,0.560809,0.031399,0.354297,0.414684,0.486992,0.377967,0.474344,0.001233,0.001249,0.001187,0.050915,0.626042
Algeria,0.004212,0.029075,0.013757,0.020029,0.947253,0.764275,0.027845,0.534279,0.305423,0.518980,0.313732,0.703908,0.157382,0.413635,0.020735,0.016703,0.000860,0.019438,0.171875
Angola,0.006650,0.037409,0.006385,0.029448,0.561538,0.330893,0.015293,0.073811,0.420552,0.147686,0.288733,0.548485,0.107170,0.241419,0.009604,0.008051,0.000263,0.011540,0.198958
Antigua and Barbuda,0.000131,0.000013,0.000040,0.000113,0.905495,0.969253,0.000059,0.425708,0.224548,0.470255,0.288733,0.210159,0.289731,0.521237,0.000096,0.000078,0.057488,0.050915,0.660417
Argentina,0.000236,0.035652,0.067661,0.024993,0.969231,0.980966,0.030483,0.460468,0.210276,0.354108,0.220598,0.917108,0.409443,0.658272,0.064198,0.056049,0.050760,0.034262,0.623958
Armenia,0.015548,0.000648,0.001744,0.001544,0.895604,0.997072,0.002410,0.580772,0.151284,0.349008,0.608430,0.596351,0.359980,0.456109,0.000919,0.000821,0.000158,0.001212,0.482292
Australia,0.000097,0.112881,0.048840,0.091399,1.000000,1.000000,0.017049,0.507224,0.296860,0.418319,0.171992,0.879941,0.524856,0.434357,0.065194,0.058353,0.294116,0.076177,0.864583
Austria,0.000046,0.069965,0.017800,0.061909,1.000000,1.000000,0.006225,0.521671,0.176974,0.304060,0.146159,0.638248,0.670497,0.646259,0.034958,0.029300,0.658289,0.028090,0.839792
Azerbaijan,0.000024,0.010498,0.006354,0.003507,0.802198,0.710102,0.006834,0.653796,0.250238,0.344287,0.185248,0.480685,0.181614,0.437661,0.007947,0.006135,0.114691,0.050915,0.564583
Bahrain,0.000004,0.009938,0.001775,0.006427,0.684665,0.813761,0.000852,0.774363,0.230257,0.206988,0.127464,0.873409,0.060455,0.687790,0.001951,0.001575,0.366224,0.050915,0.937500
Bangladesh,0.002512,0.005789,0.025534,0.006420,0.527473,0.777452,0.114856,0.470975,0.243578,0.398489,0.288733,0.199122,0.170622,0.263772,0.007580,0.007999,0.000221,0.009447,0.067708
Barbados,0.000073,0.000251,0.000213,0.000635,1.000000,0.997072,0.000198,0.603100,0.175071,0.156752,0.384092,0.379547,0.373970,0.439763,0.000476,0.000513,0.120350,0.000095,0.781250
Belarus,0.315336,0.016546,0.008767,0.015664,0.937363,0.994143,0.006945,0.619385,0.129401,0.629084,0.000000,0.723280,0.474644,0.485627,0.012124,0.010002,0.000020,0.021901,0.564271
Belgium,0.000049,0.196850,0.020509,0.159801,1.000000,1.000000,0.008194,0.465984,0.184586,0.271955,0.265126,0.971956,0.678241,0.451776,0.042334,0.035903,0.538438,0.024942,0.855938
Belize,0.000060,0.000150,0.000128,0.000310,0.895604,0.989751,0.000250,0.390859,0.354900,0.187913,0.532631,0.375943,0.147389,0.203106,0.000184,0.000148,0.048762,0.050915,0.330208
Benin,0.018076,0.000189,0.000955,0.000533,0.058242,0.650073,0.007577,0.185448,0.382493,0.380548,0.288733,0.386868,0.120410,0.376094,0.000661,0.000588,0.000031,0.050915,0.051042
Bhutan,0.001633,0.000198,0.000184,0.000372,0.416484,0.972182,0.000536,0.521408,0.281637,0.890085,0.088375,0.283027,0.165876,0.285739,0.000269,0.000245,0.001270,0.050915,0.311458
Bolivia,0.000237,0.005194,0.003313,0.003011,0.410989,0.825769,0.008106,0.340163,0.284491,0.302738,0.195445,0.630814,0.190857,0.395143,0.004602,0.003714,0.009917,0.050915,0.411458
Bosnia and Herzegovina,0.000043,0.002507,0.027314,0.003646,0.949451,0.994143,0.002844,0.562648,0.116080,0.234183,0.897349,0.423471,0.553835,0.367127,0.002844,0.002295,0.127484,0.050915,0.707292
Botswana,0.000259,0.002630,0.001104,0.002920,0.607692,0.953148,0.001521,0.408721,0.209324,0.635127,0.288733,0.574840,0.131901,0.665179,0.002280,0.001798,0.026197,0.050915,0.156250
Brazil,0.000130,0.106687,0.151731,0.087443,0.794505,0.963397,0.145714,0.554242,0.209324,0.242304,0.162475,0.829598,0.262303,0.556504,0.174899,0.153467,0.062442,0.126646,0.537500
Brunei,0.000051,0.005727,0.000452,0.001292,0.684665,0.813761,0.000294,0.607040,0.254995,0.180737,0.071380,0.733303,0.139395,0.457397,0.002280,0.001339,0.146501,0.050915,0.671875
Bulgaria,0.000037,0.011762,0.005724,0.011938,1.000000,0.992679,0.005313,0.517730,0.072312,0.292351,0.422842,0.703120,0.707469,0.598893,0.007295,0.006098,0.177860,0.003300,0.552708
Burkina Faso,0.016754,0.001018,0.001288,0.000869,0.105495,0.732064,0.012339,0.123982,0.399619,0.323135,0.288733,0.181777,0.104921,0.260769,0.001233,0.001122,0.000043,0.050915,0.045833
Burundi,0.054107,0.000106,0.000398,0.000354,0.423077,0.638360,0.006592,0.150775,0.425309,0.266478,0.288733,0.000000,0.100924,0.083062,0.000335,0.000287,0.000006,0.050915,0.013542
Cambodia,0.116356,0.003454,0.002500,0.002566,0.305495,0.579795,0.011317,0.427371,0.298763,0.340699,0.288733,0.101138,0.197852,0.550412,0.001316,0.001246,0.000008,0.050915,0.062500
Cameroon,0.019114,0.001881,0.003455,0.002369,0.397802,0.620791,0.016153,0.171263,0.367269,0.286119,0.288733,0.466832,0.137397,0.277973,0.001939,0.001911,0.000051,0.050915,0.066667
Canada,0.000073,0.201057,0.072531,0.168739,0.997802,0.997072,0.025787,0.553717,0.237869,0.356752,0.220258,0.783422,0.542343,0.312339,0.122721,0.106159,0.426676,0.057567,0.893750
Cape Verde,0.005404,0.000026,0.000080,0.000263,0.614286,0.843338,0.000360,0.468873,0.214082,0.586213,0.557444,0.586890,0.191606,0.405483,0.000098,0.000104,0.000254,0.050915,0.390625
Central African Republic,0.022430,0.000044,0.000283,0.000066,0.137363,0.534407,0.003380,0.237457,0.317793,0.060623,0.288733,0.316928,0.157882,0.102411,0.000041,0.000058,0.000011,0.050915,0.036458
Chad,0.017475,0.037409,0.000967,0.000069,0.031868,0.278184,0.008084,0.049645,0.411037,0.396601,0.288733,0.120622,0.110167,0.128540,0.001021,0.000930,0.000019,0.050915,0.023958
Chile,0.030240,0.034084,0.019896,0.029048,0.987912,0.982430,0.012897,0.568689,0.211227,0.349386,0.181169,0.880054,0.348738,0.552085,0.014918,0.012385,0.000439,0.021751,0.692708
China,0.000296,0.902546,0.506134,0.663573,0.618681,0.881406,1.000000,0.677699,0.174120,0.801889,0.118967,0.456921,0.290782,0.356573,0.595657,0.519729,0.012704,1.000000,0.477083
Colombia,0.099843,0.026551,0.031755,0.021190,0.782418,0.871157,0.034643,0.495403,0.250238,0.354674,0.307614,0.724856,0.220335,0.422516,0.028335,0.023696,0.000059,0.024602,0.538542
Comoros,0.019697,0.000004,0.000048,0.000055,0.290110,0.928258,0.000514,0.204360,0.355852,0.268178,0.288733,0.191013,0.116663,0.178823,0.000077,0.000036,0.000022,0.050915,0.067708
Congo,0.041691,0.037409,0.001692,0.029448,0.246154,0.216691,0.056572,0.126609,0.386299,0.294618,0.288733,0.266021,0.124657,0.163463,0.001646,0.001461,0.000003,0.050915,0.022917
Congo-Brazzaville,0.025065,0.003048,0.000482,0.001584,0.061538,0.638360,0.003064,0.178093,0.367269,0.529745,0.288733,0.595450,0.144142,0.425476,0.001915,0.001334,0.000045,0.050915,0.068750
Costa Rica,0.029727,0.004956,0.003889,0.006690,0.932967,0.950220,0.003491,0.582348,0.258801,0.299339,0.285520,0.606938,0.240070,0.602240,0.001627,0.001850,0.000365,0.050915,0.478750
Croatia,0.000294,0.005449,0.004240,0.007591,0.980220,0.979502,0.003138,0.513265,0.094196,0.243248,0.539089,0.528213,0.670997,0.467264,0.005739,0.005299,0.037537,0.002984,0.656250
Cuba,0.030980,0.001313,0.027314,0.003701,0.918681,0.912152,0.028224,0.609141,0.122740,0.341150,0.288733,0.720351,0.458906,0.051956,0.012805,0.011522,0.000107,0.050915,0.267813
Cyprus,0.000037,0.000806,0.001453,0.002683,1.000000,1.000000,0.000639,0.616496,0.229305,0.113503,0.524813,0.670121,0.420684,0.384332,0.001839,0.001696,0.345184,0.000641,0.681771
Czech Republic,0.000984,0.070925,0.011853,0.051811,1.000000,0.997072,0.007724,0.555293,0.137012,0.317469,0.215840,0.700642,0.597302,0.539085,0.022472,0.019417,0.016951,0.018174,0.771979
Denmark,0.000630,0.046753,0.009583,0.033676,1.000000,1.000000,0.004101,0.453113,0.165557,0.225873,0.217879,0.854375,0.680240,0.522868,0.023536,0.019121,0.060494,0.015744,0.985729
Djibouti,0.007604,0.000159,0.000052,0.000226,0.575824,0.884334,0.000661,0.394799,0.273073,0.454958,0.288733,0.742764,0.147140,0.095976,0.000171,0.000150,0.000251,0.050915,0.098958
Dominica,0.000081,0.000018,0.000007,0.000066,0.792308,0.918009,0.000044,0.425708,0.169363,0.222285,0.288733,0.631715,0.289731,0.533551,0.000000,0.000000,0.062548,0.050915,0.614583
Dominican Republic,0.001797,0.003040,0.008658,0.006996,0.802198,0.720351,0.007643,0.425532,0.244529,0.194901,0.218219,0.664489,0.235573,0.355372,0.002934,0.002947,0.002526,0.050915,0.478125
Ecuador,0.000026,0.010507,0.008896,0.009186,0.814286,0.800878,0.011589,0.426583,0.276879,0.414164,0.140721,0.639374,0.243567,0.454179,0.012115,0.010835,0.123856,0.006583,0.420313
Egypt,0.000216,0.012960,0.062488,0.025489,0.954945,0.989751,0.061834,0.415025,0.283539,0.164684,0.421482,0.365920,0.216088,0.497297,0.024727,0.032109,0.011470,0.018201,0.516250
El Salvador,0.000020,0.002419,0.003792,0.003920,0.675824,0.855051,0.004644,0.410034,0.192198,0.163362,0.174711,0.608627,0.270797,0.560280,0.001878,0.001819,0.103581,0.000000,0.240729
Equatorial Guinea,0.032092,0.037409,0.000253,0.029448,0.878022,0.281113,0.000551,0.290255,0.391056,1.000000,0.288733,0.320757,0.106420,0.265445,0.001191,0.001179,0.000369,0.050915,0.170833
Eritrea,0.000856,0.000004,0.000413,0.000146,0.046154,0.417277,0.004644,0.191489,0.436727,0.062512,0.288733,0.119608,0.091182,0.000000,0.000147,0.000211,0.000156,0.050915,0.009375
Estonia,0.000028,0.008044,0.001298,0.007245,0.947253,0.986823,0.000941,0.495141,0.124643,0.404533,0.272944,0.657281,0.668748,0.660975,0.002192,0.001769,0.251603,0.001636,0.833333
Ethiopia,0.000525,0.001273,0.007849,0.004336,0.160440,0.289898,0.065288,0.173628,0.370124,0.431350,0.288733,0.068364,0.146140,0.092887,0.003268,0.003297,0.000666,0.050915,0.019792
Fiji,0.000105,0.000537,0.000353,0.000810,0.859341,0.945827,0.000639,0.483583,0.196004,0.352219,0.278722,0.466494,0.194354,0.409859,0.000233,0.000188,0.013330,0.050915,0.386458
Finland,0.000056,0.032145,0.009775,0.027759,1.000000,1.000000,0.003998,0.452325,0.172217,0.250803,0.256288,0.817772,0.724706,0.712717,0.021018,0.017749,0.400093,0.015275,0.953229
France,0.000049,0.037409,0.120048,0.029448,1.000000,1.000000,0.046776,0.436827,0.177926,0.262512,0.347043,0.845253,0.666250,0.398576,0.233460,0.203293,0.529209,0.089910,0.853333
Gabon,0.023159,0.002361,0.000541,0.000901,0.356044,0.885798,0.001139,0.238245,0.352997,0.475543,0.288733,0.847505,0.216088,0.897331,0.001670,0.001426,0.000199,0.001659,0.095833
Gambia,0.000638,0.000040,0.000178,0.000113,0.562637,0.855051,0.001374,0.115314,0.431018,0.237205,0.288733,0.524271,0.103173,0.404925,0.000131,0.000159,0.001236,0.050915,0.145833
Georgia,0.000054,0.001048,0.002083,0.002861,0.926374,0.980966,0.003285,0.535855,0.098002,0.378093,0.490483,0.470436,0.519610,0.469495,0.001390,0.001282,0.064587,0.000816,0.448958
Germany,0.000045,0.623868,0.171440,0.428202,1.000000,1.000000,0.059372,0.485422,0.150333,0.213220,0.159075,0.707963,0.790407,0.486657,0.279884,0.225895,0.612805,0.252743,0.874583
Ghana,0.000055,0.008264,0.005320,0.005102,0.059341,0.812592,0.018776,0.282900,0.327307,0.528612,0.288733,0.465255,0.137397,0.440149,0.003168,0.003995,0.012163,0.050915,0.128125
Greece,0.000033,0.015498,0.016270,0.022741,0.984615,0.997072,0.008121,0.483058,0.075167,0.142587,0.905846,0.568758,0.735698,0.477175,0.022921,0.019641,0.385103,0.004747,0.623646
Grenada,0.000094,0.000013,0.000050,0.000091,0.978022,0.953148,0.000073,0.493827,0.164605,0.449858,0.288733,0.318504,0.256558,0.514802,0.000000,0.000103,0.051303,0.050915,0.364583
Guatemala,0.000369,0.004436,0.008074,0.006376,0.783516,0.909224,0.011369,0.194641,0.367269,0.170916,0.288733,0.439577,0.194354,0.567273,0.001816,0.001735,0.007432,0.050915,0.205208
Guinea,0.255905,0.000630,0.000727,0.000661,0.108791,0.631040,0.008165,0.191489,0.368221,0.258546,0.288733,0.278522,0.129903,0.247640,0.000491,0.000501,0.000001,0.050915,0.016667
Guinea-Bissau,0.015832,0.000009,0.000018,0.000029,0.117582,0.613470,0.001176,0.219858,0.357755,0.000000,0.288733,0.375718,0.116663,0.293848,0.000054,0.000052,0.000033,0.050915,0.032292
Guyana,0.006962,0.000463,0.000320,0.000675,0.819780,0.964861,0.000581,0.346730,0.177926,0.249103,0.288733,0.194617,0.129153,0.273769,0.000347,0.000321,0.000264,0.050915,0.343750
Haiti,0.001967,0.000026,0.000990,0.029448,0.168791,0.449488,0.007577,0.347780,0.260704,0.341150,0.288733,0.489132,0.173870,0.273726,0.000548,0.000582,0.000349,0.050915,0.110417
Honduras,0.000706,0.002207,0.002514,0.003146,0.780220,0.847731,0.005945,0.342264,0.319696,0.358640,0.129164,0.467620,0.171621,0.387506,0.001700,0.001819,0.004056,0.050915,0.185417
Hong Kong,0.000393,0.217141,0.020850,0.201995,0.684665,0.813761,0.005313,0.708695,0.171265,0.341454,0.085996,1.000000,0.458406,1.000000,0.015766,0.012275,0.022444,0.004026,0.772917
Hungary,0.010827,0.045379,0.011603,0.034395,1.000000,1.000000,0.007253,0.546887,0.105614,0.229839,0.327328,0.661110,0.619036,0.475502,0.018393,0.015578,0.001322,0.009148,0.756667
Iceland,0.010003,0.002203,0.000548,0.001734,1.000000,1.000000,0.000228,0.504597,0.195052,0.156941,0.130523,0.930510,0.468649,0.439806,0.001128,0.000949,0.002845,0.002058,1.000000
India,0.001631,0.037409,0.331766,0.029448,0.296264,0.891654,0.913709,0.482007,0.245480,0.552786,0.288733,0.230319,0.188359,0.279646,0.196509,0.216148,0.000788,0.116784,0.157292
Indonesia,0.518756,0.080419,0.103706,0.068103,0.547253,0.778917,0.182208,0.480956,0.242626,0.532200,0.192046,0.453204,0.185611,0.497426,0.044743,0.040457,0.000001,0.097162,0.164792
Iran,0.708408,0.057507,0.037375,0.024924,0.883516,0.939971,0.056653,0.620173,0.254044,0.611709,0.419443,0.653452,0.173870,0.337438,0.025420,0.021845,0.000017,0.014703,0.327083
Iraq,0.076791,0.037409,0.027314,0.029448,0.831868,0.786237,0.025552,0.234831,0.369172,0.341150,0.288733,0.622367,0.128154,0.388279,0.021505,0.019737,0.000015,0.007776,0.095833
Ireland,0.000047,0.050802,0.007305,0.024059,0.989011,0.998536,0.003505,0.500131,0.144624,0.114259,0.422842,0.577768,0.441419,0.416853,0.013160,0.012782,0.456561,0.016659,0.815104
Israel,0.000266,0.027815,0.011682,0.026672,1.000000,1.000000,0.005776,0.374310,0.304472,0.269500,0.197145,0.909224,0.422683,0.503046,0.019701,0.017283,0.065424,0.010859,0.737500
Italy,0.000046,0.037409,0.100938,0.029448,0.684665,1.000000,0.043858,0.460205,0.174120,0.218886,0.395649,0.646131,0.802148,0.657628,0.167332,0.143756,0.396024,0.111269,0.608958
Ivory Coast,0.023555,0.004784,0.002422,0.003555,0.141758,0.710102,0.017681,0.215655,0.352997,0.222285,0.288733,0.459399,0.130152,0.385490,0.001846,0.001659,0.000050,0.000000,0.027083
Jamaica,0.004203,0.000753,0.001500,0.002391,0.782418,0.898975,0.002036,0.463094,0.153187,0.276298,0.486064,0.461201,0.291781,0.406813,0.001349,0.001086,0.000905,0.050915,0.393750
Japan,0.007499,0.315022,0.227887,0.304069,1.000000,1.000000,0.093573,0.382979,0.111323,0.293862,0.116587,0.906859,1.000000,0.470182,0.288549,0.294354,0.003950,0.370845,0.898438
Jordan,0.000027,0.003471,0.005062,0.007540,0.979121,0.942899,0.004799,0.397426,0.337774,0.287819,0.394290,0.807974,0.129403,0.584349,0.001938,0.001825,0.090571,0.001796,0.460417
Kazakhstan,0.010006,0.040652,0.015975,0.016245,0.972527,0.898975,0.012603,0.532703,0.265461,0.379603,0.156356,0.476743,0.233825,0.750386,0.012551,0.008217,0.000502,0.016632,0.562500
Kenya,0.003549,0.002278,0.006252,0.004402,0.226374,0.439239,0.032585,0.205148,0.383444,0.283664,0.288733,0.148553,0.108918,0.278831,0.003860,0.003889,0.000193,0.050915,0.406250
Kiribati,0.000001,0.000004,0.027314,0.000029,0.337363,0.513909,0.000073,0.425708,0.274025,0.341150,0.288733,0.370087,0.289731,0.047237,0.000000,0.000000,0.116727,0.050915,0.119792
Kosovo,0.030980,0.037409,0.027314,0.029448,0.684665,0.813761,0.028224,0.488311,0.215985,0.341150,0.288733,0.505386,0.241569,0.418529,0.012805,0.011522,0.000296,0.050915,0.423198
Kuwait,0.000007,0.022881,0.005566,0.009055,1.000000,0.985359,0.002851,0.672708,0.467174,0.206610,0.049966,0.980516,0.067200,0.792389,0.020955,0.009866,0.464761,0.050915,0.786042
Kyrgyzstan,0.001736,0.000740,0.001482,0.001949,0.909890,0.818448,0.004137,0.477804,0.315890,0.397923,0.239633,0.273342,0.146640,0.497040,0.000971,0.000869,0.000828,0.050915,0.243750
Laos,0.292293,0.037409,0.001527,0.029448,0.610989,0.582723,0.004968,0.360914,0.303520,0.341150,0.288733,0.271540,0.142143,0.259997,0.000848,0.000832,0.000001,0.050915,0.130208
Latvia,0.000013,0.005590,0.001923,0.005858,0.764835,0.976574,0.001492,0.507224,0.029496,0.328612,0.383073,0.636333,0.683987,0.561867,0.002763,0.002230,0.317251,0.001644,0.783646
Lebanon,0.074362,0.001736,0.005354,0.007737,0.981319,1.000000,0.003278,0.610192,0.218839,0.321058,0.288733,0.857642,0.294029,0.321606,0.002732,0.003185,0.000112,0.050915,0.734375
